Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Show Name	Tone Mode	CTCSS	DCS	Comment
76	146.8	146.200000	0.6	Minus	FM		W5URH	Tone	110.9	0	
77	146.68	146.080000	0.6	Minus	FM		W5URH	Tone	110.9	0	
78	145.25	144.650000	0.6	Minus	FM		KD5HOG	Tone	110.9	0	
79	145.11	144.510000	0.6	Minus	FM		K5FTW	Tone	110.9	0	
80	442.125	889.250000	447.125	Plus	FM		KA5GFH	Tone	156.7	0	WRG Link System
81	147.28	147.880000	0.6	Plus	FM		W5SJZ	None	0	0	
82	147.14	147.740000	0.6	Plus	FM		K5SLD	None	0	0	
83	146.86	146.260000	0.6	Minus	FM		WD5DBB	Tone	110.9	0	
84	443.4	448.400000	5	Plus	FM		WD5DBB	Tone	110.9	0	
85	443.45	448.450000	5	Plus	FM		N4MSE	Tone	127.3	0	http://www.ntxra.com/; north Texas Repeater Association and linked to McKinney Dallas and IRLP
86	442.975	447.975000	5	Plus	FM	N5UA	N5UA	Tone	110.9	0	DFW Remote Base Association10 meter linked repeater
87	29.66	29.560000	0.1	Minus	FM	W5DFW	N5CN	Tone	192.8	0	DFW Remote Base Assoc.10m FM repeater, usually linked to 442.975 MHz N5UA repeater
88	444.9	449.900000	5	Plus	FM		AE5FZ	Tone	110.9	0	
89	145.33	144.730000	0.6	Minus	FM	-	AE5FZ	Tone	110.9	0	W5NRV
90	441.85	446.850000	5	Plus	FM		N5VAV	Tone	110.9	0	
91	147.01	147.610000	0.6	Plus	FM		KD5QQQ	Tone	110.9	0	
92	441.325	446.325000	5	Plus	FM		KC5GVN	None	0	0	
93	442.85	447.850000	5	Plus	FM		K5JRR	None	0	0	
94	146.45	146.450000	0		FM		N1BEN	Tone	100		
95	441.925	446.925000	5	Plus	FM		K5JRR	Tone	110.9	0	
96	442.775	447.775000	5	Plus	FM		N5ABV	None	0	0	
97	443.6	448.600000	5	Plus	FM		W5URH	Tone	110.9	0	
98	441.75	446.750000	5	Plus	FM		N5TWL	Tone	100	0	
99	444.025	449.025000	5	Plus	FM		N4MSE	Tone	127.3	0	
100	146.7	146.100000	0.6	Minus	FM		W5EBQ	Tone	110.9	0	
101	145.31	144.710000	0.6	Minus	FM	Mesquite Ham Radio ASSN	AB5RM	Tone	162.2	0	
102	442.825	447.825000	5	Plus	FM		N5VAV	Tone	110.9	0	
103	442.3	447.300000	5	Plus	FM		KA5SYL	Tone	103.5	0	
104	444.575	449.575000	5	Plus	FM		W7YC	Tone	110.9	0	
105	444.625	449.625000	5	Plus	FM		W5URH	Tone	110.9	0	
106	145.37	144.770000	0.6	Minus	FM		W5FA	Tone	110.9	0	
107	146.72	146.120000	0.6	Minus	FM		WA5CKF	Tone	110.9	0	
108	441.925	446.925000	5	Plus	FM		W5EBQ	None	0	0	
109	146.66	146.060000	0.6	Minus	FM	Garland ARC	K5QHD	Tone	110.9	0	Garland Amateur Radio ClubGarland RACES primary repeater
110	444.425	449.425000	5	Plus	FM		KA5PQK	Tone	156.7	0	
111	442.95	447.950000	5	Plus	FM		N5SVZ	Tone	110.9	0	
112	441.9	446.900000	5	Plus	FM		W5RV	Tone	110.9	0	
113	443.225	448.225000	5	Plus	FM		KA0BRN	Tone	110.9	0	DFW Remote Base Association
114	145.43	144.830000	0.6	Minus	FM		W5FA	None	0	0	
115	927.875	902.875000	25	Minus	FM		N5ERS	Tone	103.5	0	
116	145.23	144.630000	0.6	Minus	FM		N5ERS	Tone	110.9	0	
117	145.25	144.650000	0.6	Minus	FM		KA1CWM	Tone	107.2	0	
118	442.75	890.500000	447.75	Plus	FM	ALLIANCE AMATEUR RADIO CLUB	K5FR	Tone	110.9	0	OPEN CLUB REPEATERRACES, ARES, EMERGENCY POWER, 
119	443.825	448.825000	5	Plus	FM		K5XG	Tone	110.9	0	
120	146.61	146.010000	0.6	Minus	FM		K5ZYZ	Tone	110.9	0	
121	444.675	449.675000	5	Plus	FM	N5UA	N5UA	Tone	110.9	0	Echolink Node 257890Echolink Node 257890
122	444.7	449.700000	5	Plus	FM		N5EOC	Tone	110.9	0	
123	443.075	448.075000	5	Plus	FM		N5LLH	None	0	0	
124	442.175	447.175000	5	Plus	FM		N1OZ	None	0	0	
125	443.175	448.175000	5	Plus	FM		NT5J	Tone	100	0	
126	443.3	448.300000	5	Plus	FM		N5ABV	None	0	0	
127	145.17	144.570000	0.6	Minus	FM		W5FKN	Tone	110.9	0	
128	443.55	448.550000	5	Plus	FM		WB5NDJ	Tone	110.9	0	
129	444.325	449.325000	5	Plus	FM		K9MK	None	0	0	
130	147.16	147.760000	0.6	Plus	FM		WB5IDM	Tone	110.9	0	
131	927.2375	902.237500	25	Minus	FM		WB5IDM	Tone	110.9	0	
