RepeaterID,trustee,operator,output_freq,offset,offset_freq,pl,dcs,Club,Descr,lng,lat,City,State,ZIP,range,Notes,Tags,rpt_type,LastUpdate,Country,rxheight,rxgain,txheight,txgain,txpower
"15974","N5CN","W5DFW",29.66,"-",-0.1,192.8,0,"W5DFW","DFW Remote Base Assoc.",-97.2616539022,32.7578297078,"Fort Worth","Texas","",110,"",""," ","2010-12-24 16:42:25","USA",300,0,300,3,350
"5483","AE5FZ","W5NRV",444.9,"+",5,110.9,0,"","",-97.2590178251266,32.7872068799906,"Fort Worth","TX","",29,"",""," ","2010-07-13 18:11:49","USA",400,0,400,9.9,40
"19303","AE5FZ","W5NRV",145.33,"-",-0.6,110.9,0,"-","",-97.2590339183808,32.7872113897898,"Fort Worth","TX","76101",29,"",""," ","2010-07-13 18:41:50","US",400,6,425,6,50
"5722","N5VAV","",441.85,"+",5,110.9,0,"","",-97.227778,32.815833,"Richland Hills","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12711","KD5QQQ","",147.01,"+",0.6,110.9,0,"","",-97.140556,32.817778,"Euless","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5460","KC5GVN","",441.325,"+",5,0,0,"","",-97.140556,32.817778,"Euless","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5563","K5JRR","",442.85,"+",5,0,0,"","",-97.170278,32.823333,"Hurst","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12824","N1BEN","",146.45," ",0,100,,"","",-97.170278,32.823333,"Hurst","TX","",30,"",""," ","2009-12-27 15:57:23","USA",,,,,
"5562","K5JRR","",441.925,"+",5,110.9,0,"","",-97.170278,32.823333,"Hurst","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5674","N5ABV","",442.775,"+",5,0,0,"","",-97.228611,32.834167,"N Richland Hills","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5675","W5URH","",443.6,"+",5,110.9,0,"","",-97.228611,32.834167,"N Richland Hills","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5673","N5TWL","",441.75,"+",5,100,0,"","",-97.228611,32.834167,"N Richland Hills","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"2385","N4MSE","",444.025,"+",5,127.3,0,"","",-96.803756,32.780022,"Dallas","TX","",60,"",""," ","2010-11-03 12:34:33","USA",825,0,900,0,0
"12667","W5EBQ","",146.7,"-",-0.6,110.9,0,"","",-96.8,32.783333,"Dallas","TX","",57,"",""," ","2010-12-24 16:11:59","USA",921,6,921,6,100
